regime,scheme,n_classes,accuracy_mean,accuracy_std,knn_mean,knn_std,distance_mean,distance_std,first_pc_mean,first_pc_std
circle,intrinsic_arc,2,0.9955999999999999,0.0014605934866804588,0.20197333333333328,0.01893690400602305,0.6654576838120638,0.017976118727052928,0.9983646869659424,0.0020302573843284724
circle,intrinsic_arc,8,0.9770666666666667,0.002957100682162226,0.8563400000000001,0.011320051040324651,0.9581535870891063,0.02049259989610144,0.5615589916706085,0.07888365735601564
circle,intrinsic_arc,32,0.8984666666666667,0.003304878548785427,0.8974266666666668,0.013350622124497145,0.9626008457984977,0.0240238929188836,0.537952721118927,0.034774917132558106
circle,observed_x,2,0.9992000000000001,0.0002981423970000097,0.19792,0.010379215341783352,0.6637959149818693,0.014741418232616588,0.999669075012207,0.00039013630720529063
circle,observed_x,8,0.9576,0.00574649651720268,0.64552,0.028397795297835725,0.6223876340615437,0.019274565372344184,0.6959676861763,0.0717701164695137
circle,observed_x,32,0.7605999999999999,0.012241550373851998,0.7024533333333334,0.044556653075981084,0.6633054540761908,0.014781076605161725,0.7339740872383118,0.08527283742990627
circle,observed_y,2,0.9984666666666667,0.0007673909622146623,0.1922333333333333,0.009442516143015629,0.6648384827589396,0.02140094757142032,0.9992035746574401,0.0007700785686568524
circle,observed_y,8,0.9600666666666667,0.0027527763762749827,0.6389866666666666,0.03863615606599029,0.6162661973608607,0.047015200500448065,0.6197216629981994,0.08590351049716394
circle,observed_y,32,0.7517333333333334,0.017287439242280996,0.6954466666666667,0.023295953392047382,0.6323273760115213,0.06526333433746666,0.676649534702301,0.11739810815359028
sinewave,intrinsic_arc,2,0.9995333333333333,0.00038005847503309057,0.16641333333333327,0.016740330542335962,0.6421652876716817,0.01648356956914316,0.9995450735092163,0.0003920346690495919
sinewave,intrinsic_arc,8,0.9933333333333334,0.0015456030825825617,0.73336,0.009295919056828738,0.8589778415342126,0.024903473219080704,0.646723210811615,0.048799705691353126
sinewave,intrinsic_arc,32,0.9103999999999999,0.008257656379923373,0.8146666666666667,0.007053092308421266,0.8955619246453679,0.006246861379675391,0.6644374847412109,0.03173336012372234
sinewave,observed_x,2,0.9995333333333333,0.0005055250296034597,0.15620666666666666,0.006496982205437951,0.6870116972385275,0.00811693857244035,0.9996414542198181,0.0002951557390731192
sinewave,observed_x,8,0.9741333333333333,0.00256688310775713,0.32298666666666664,0.013284840985122857,0.6829887630034414,0.015975899612118264,0.7644945621490479,0.06418863324393859
sinewave,observed_x,32,0.8301999999999999,0.018862956054423462,0.5075866666666666,0.025080299927322365,0.7247554233881806,0.017334496056308265,0.8364673256874084,0.07891454852472116
sinewave,observed_y,2,0.9995333333333333,0.00038005847503308693,0.11390666666666664,0.005349631347630919,0.6916288132645947,0.008359134701443628,0.9994257688522339,0.0006581725315054432
sinewave,observed_y,8,0.9782666666666666,0.007395193634306496,0.29091333333333325,0.035946399912462255,0.6470513485150642,0.03096956561379795,0.7666457176208497,0.08669350690274062
sinewave,observed_y,32,0.8641333333333334,0.017265250907209217,0.26361999999999997,0.03076936246766686,0.5604148577207814,0.13769491313195278,0.7535187482833863,0.13436887490047814
spiral,intrinsic_arc,2,0.9994,0.00036514837167016067,0.4252599999999999,0.06895478147952389,0.31220996779470306,0.03265977259233119,0.9992577195167541,0.0009824442561830356
spiral,intrinsic_arc,8,0.9935333333333333,0.0016931233465600313,0.9283000000000001,0.0077724227597034895,0.9071207447905334,0.037082609933181805,0.5995260238647461,0.07522966328717301
spiral,intrinsic_arc,32,0.9651333333333334,0.0027141603981096613,0.9553333333333335,0.008454157425656125,0.8993540232918213,0.05206177029652602,0.6026844263076783,0.09215242518441848
spiral,observed_x,2,0.9973333333333333,0.0015275252316518575,0.38255999999999996,0.0034507165117470943,0.6706497034877781,0.022675742108181192,0.999315595626831,0.0009130603492685414
spiral,observed_x,8,0.9778,0.008597803337028634,0.76988,0.04727724728779276,0.6589863456921808,0.031516340617360084,0.7278677463531494,0.08120099425684853
spiral,observed_x,32,0.8763333333333334,0.027637534863538968,0.8325733333333334,0.022630306621382313,0.6541365281292497,0.02306518535966997,0.7593007326126099,0.0908127416566998
spiral,observed_y,2,0.9981333333333332,0.0016599866130652325,0.36818,0.005017890216238478,0.6788146250383333,0.021900069763287677,0.9985148787498475,0.0019819381198748548
spiral,observed_y,8,0.9842000000000001,0.00820771994324048,0.7706466666666667,0.03827243423434444,0.6074214426134941,0.060215551413297326,0.7032581925392151,0.09093375912105423
spiral,observed_y,32,0.8988666666666667,0.012939173938942951,0.8108466666666667,0.04911291751328432,0.6653033528909935,0.04698602221193584,0.7562777161598205,0.1050382497202649
