layer,reference_layer,k,knn_preservation,experiment,regime,n_classes,accuracy,distance_correlation,n_features,components_90,components_95,components_99,first_pc_variance,first_2pc_variance,first_3pc_variance,latent_variable,r2
logits,input,10,0.18910000000000002,circle_arc_2,circle,2,0.994,0.6481175243434415,2,1,1,1,0.9970574975013733,1.0,1.0,arc_parameter,0.6803722794435834
logits,input,10,0.8122666666666667,circle_arc_8,circle,8,0.9793333333333333,0.8957430807958352,8,3,4,4,0.48966121673583984,0.7992501258850098,0.918993353843689,arc_parameter,0.8733320232689205
logits,input,10,0.8957000000000002,circle_arc_32,circle,32,0.9066666666666666,0.9721828362520331,32,3,3,4,0.5223062634468079,0.8913635015487671,0.9670971035957336,arc_parameter,0.8779394010025743
logits,input,10,0.43826666666666664,spiral_arc_2,spiral,2,0.999,0.34670627015355066,2,1,1,1,0.9999135732650757,0.9999999403953552,0.9999999403953552,arc_parameter,0.3877890790675058
logits,input,10,0.9067666666666667,spiral_arc_8,spiral,8,0.993,0.8899565249402188,8,2,2,3,0.7362625598907471,0.9642501473426819,0.996002733707428,arc_parameter,0.9830687436973481
logits,input,10,0.9669666666666668,spiral_arc_32,spiral,32,0.9696666666666667,0.9524234614185523,32,2,3,4,0.5377444624900818,0.9278870820999146,0.9876538515090942,arc_parameter,0.9966821206899902
logits,input,10,0.1809333333333333,sinewave_arc_2,sinewave,2,1.0,0.6306620172193763,2,1,1,1,0.9985935688018799,1.0,1.0,arc_parameter,0.9040111842504646
logits,input,10,0.8564,sinewave_arc_8,sinewave,8,0.996,0.9749000257977357,8,2,3,3,0.5090464353561401,0.9363589286804199,0.9901440739631653,arc_parameter,0.9960685146063813
logits,input,10,0.8331666666666667,sinewave_arc_32,sinewave,32,0.8953333333333333,0.8789410610468171,32,2,3,3,0.6273556351661682,0.9204369783401489,0.9910410642623901,arc_parameter,0.9975727169913957
