transition,delta_euclidean_knn_loss_mean,delta_euclidean_knn_loss_std,delta_geodesic_knn_loss_mean,delta_geodesic_knn_loss_std,delta_distance_loss_mean,delta_distance_loss_std,delta_arc_r2_gain_mean,delta_arc_r2_gain_std,delta_first_pc_gain_mean,delta_first_pc_gain_std
hidden_1 -> hidden_2,0.016763333333333307,0.007574558618929854,0.004479999999999973,0.002715533733318423,0.051208871855089766,0.030265385731106903,0.1462883803383988,0.1335179903849741,0.02591196298599243,0.0725972047935893
hidden_2 -> hidden_3,0.004476666666666651,0.0073466890165688,0.0015333333333333754,0.002443282552147867,0.026382382075829526,0.026290121056428167,0.11770078320885557,0.1530875127227455,-0.011101680994033813,0.05444440160457363
hidden_3 -> logits,0.005159999999999987,0.008785563354548788,0.001933333333333309,0.005323996456761109,0.018795439194039608,0.0435360512965683,-0.03751180440122476,0.025473600826058106,0.033593004941940306,0.042981755982901486
input -> hidden_1,0.033846666666666636,0.012824939053593777,0.006563333333333287,0.0046300534620809545,0.07462256952025642,0.030119807794635814,0.5033672802417095,0.16809916462993452,0.022309321165084838,0.04439404315027117
