scheme_label,transition,delta_euclidean_knn_loss_mean,delta_euclidean_knn_loss_std,delta_geodesic_knn_loss_mean,delta_geodesic_knn_loss_std,delta_distance_loss_mean,delta_distance_loss_std,delta_arc_r2_gain_mean,delta_arc_r2_gain_std,delta_first_pc_gain_mean,delta_first_pc_gain_std
intrinsic_arc,hidden_1 -> hidden_2,0.04467999999999996,0.004406678433334409,0.013293333333333318,0.0020601330413709085,0.01335349085971016,0.0070920630724319676,-6.349831902960901e-05,3.126374440808494e-05,0.008402642607688905,0.02153218216168408
intrinsic_arc,hidden_2 -> hidden_3,0.04185666666666671,0.013295177348976612,0.009786666666666693,0.003785978028149362,0.029589828618358884,0.011514499480069612,-0.0002749440437623929,0.00010867430740809205,0.016858232021331788,0.0325600706291306
intrinsic_arc,hidden_3 -> logits,0.036800000000000055,0.013621034931039297,0.011836666666666657,0.0049677341631823736,0.04552296135225017,0.019235294374922877,-0.0003340036520198764,0.00019994926452358112,0.07276754975318908,0.022479337292273305
intrinsic_arc,input -> hidden_1,0.04761999999999992,0.014753005134338854,0.0062033333333333385,0.005018766018223865,0.012109691272191558,0.005703568562507274,1.3343050902769881e-05,2.8799196160952228e-05,-0.06809382140636444,0.01817665604457822
observed_y,hidden_1 -> hidden_2,0.40123333333333344,0.016689473284634215,0.15738333333333335,0.018486853854350112,0.23974222440765164,0.017169108709449106,-0.0006156559832789843,0.000270240105829172,0.2664658784866333,0.06186639925901149
observed_y,hidden_2 -> hidden_3,0.17498,0.030018842642251343,0.13416666666666666,0.022617293722031414,0.03230516064614643,0.029198190069881145,-0.15159555036902622,0.09168064579225957,-0.11205635666847229,0.058328151024590984
observed_y,hidden_3 -> logits,0.026543333333333342,0.010955251855154976,0.02067666666666668,0.008122048181749894,0.02800340036847516,0.06262450627631079,-0.16719329158031676,0.1366054241668783,0.007814508676528931,0.06891232753647135
observed_y,input -> hidden_1,0.12551333333333328,0.020082977252106882,-0.018336666666666675,0.0025115756699090317,0.06181612662230098,0.02049299805680581,3.454501693844758e-06,2.844110350554447e-05,0.06676213145256042,0.03875419114519726
