seed,layer,accuracy,abs_euclidean_knn_loss,abs_geodesic_knn_loss,abs_distance_loss,abs_arc_r2_gain,abs_first_pc_gain,euclidean_knn,geodesic_knn,distance_corr,arc_r2,first_pc_variance,scheme_label
1,input,0.908,0.0,0.0,0.0,0.0,0.0,1.0,0.49533333333333335,0.9999999999999999,0.9989333737356624,0.5950512290000916,intrinsic_arc
1,hidden_1,0.908,0.0590666666666666,0.01200000000000001,0.011656073428509384,1.1528545609373886e-05,-0.05325871706008911,0.9409333333333334,0.48333333333333334,0.9883439265714905,0.9989449022812718,0.5417925119400024,intrinsic_arc
1,hidden_2,0.908,0.10803333333333331,0.022199999999999998,0.021909286457177934,-7.422671974222084e-05,-0.06255459785461426,0.8919666666666667,0.47313333333333335,0.978090713542822,0.9988591470159202,0.5324966311454773,intrinsic_arc
1,hidden_3,0.908,0.15846666666666653,0.03543333333333343,0.06305221424805751,-0.00030467531663325165,-0.037824809551239014,0.8415333333333335,0.4598999999999999,0.9369477857519424,0.9986286984190291,0.5572264194488525,intrinsic_arc
1,logits,0.908,0.19669999999999999,0.04749999999999999,0.11564362309115095,-0.0007906401682853392,0.029713153839111328,0.8033,0.44783333333333336,0.8843563769088489,0.998142733567377,0.6247643828392029,intrinsic_arc
2,input,0.902,0.0,0.0,0.0,0.0,0.0,1.0,0.4968,1.0,0.9987367619702427,0.5912150740623474,intrinsic_arc
2,hidden_1,0.902,0.029099999999999904,-0.0005666666666666043,0.006410122340945734,-1.483508183341975e-05,-0.059444308280944824,0.9709000000000001,0.4973666666666666,0.9935898776590543,0.9987219268884093,0.5317707657814026,intrinsic_arc
2,hidden_2,0.902,0.07733333333333314,0.014100000000000057,0.016855826427955245,-6.930126017801186e-05,-0.030282437801361084,0.9226666666666669,0.48269999999999996,0.9831441735720448,0.9986674607100647,0.5609326362609863,intrinsic_arc
2,hidden_3,0.902,0.1305666666666666,0.028366666666666707,0.044900267536016725,-0.0003692809917117401,-0.012912154197692871,0.8694333333333334,0.4684333333333333,0.9550997324639833,0.998367480978531,0.5783029198646545,intrinsic_arc
2,logits,0.902,0.1789333333333334,0.04243333333333338,0.09993366581592045,-0.0005385066110407122,0.0724981427192688,0.8210666666666666,0.45436666666666664,0.9000663341840796,0.998198255359202,0.6637132167816162,intrinsic_arc
3,input,0.9186666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.4909666666666667,1.0,0.9988824500129572,0.6153087019920349,intrinsic_arc
3,hidden_1,0.9186666666666666,0.0419666666666666,-0.0006999999999999229,0.016144656889893638,1.748686534708277e-05,-0.08783268928527832,0.9580333333333334,0.49166666666666664,0.9838553431101064,0.9988999368783043,0.5274760127067566,intrinsic_arc
3,hidden_2,0.9186666666666666,0.07863333333333322,0.015600000000000003,0.02200043278310493,-6.186998155710555e-05,-0.0660519003868103,0.9213666666666668,0.4753666666666667,0.9779995672168951,0.9988205800314001,0.5492568016052246,intrinsic_arc
3,hidden_3,0.9186666666666666,0.13379999999999992,0.0296333333333334,0.05873976817763793,-0.00024687832774550333,-0.006085813045501709,0.8662000000000001,0.4613333333333333,0.9412602318223621,0.9986355716852117,0.6092228889465332,intrinsic_arc
3,logits,0.9186666666666666,0.1835,0.045433333333333326,0.10254950029270038,-0.00036404402869616437,0.08103841543197632,0.8165,0.4455333333333334,0.8974504997072996,0.998518405984261,0.6963471174240112,intrinsic_arc
4,input,0.9193333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.5025666666666666,1.0,0.9988221684537607,0.6049712300300598,intrinsic_arc
4,hidden_1,0.9193333333333333,0.03393333333333326,0.003666666666666596,0.007847526487420375,-4.491245424298462e-05,-0.10044199228286743,0.9660666666666667,0.4989,0.9921524735125796,0.9987772559995177,0.5045292377471924,intrinsic_arc
4,hidden_2,0.9193333333333333,0.08093333333333319,0.01656666666666662,0.023999595130758555,-6.327818979701139e-05,-0.10330593585968018,0.9190666666666668,0.486,0.9760004048692414,0.9987588902639637,0.5016652941703796,intrinsic_arc
4,hidden_3,0.9193333333333333,0.13866666666666672,0.0295333333333333,0.060407079626132565,-0.0004630117148148871,-0.04301542043685913,0.8613333333333333,0.4730333333333333,0.9395929203738674,0.9983591567389458,0.5619558095932007,intrinsic_arc
4,logits,0.9193333333333333,0.18613333333333326,0.04529999999999995,0.10160743325871802,-0.0010887205274041634,0.03728210926055908,0.8138666666666667,0.45726666666666665,0.898392566741282,0.9977334479263565,0.6422533392906189,intrinsic_arc
5,input,0.9206666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.4928666666666666,1.0,0.9988845609795299,0.6008291840553284,intrinsic_arc
5,hidden_1,0.9206666666666666,0.07993333333333341,0.013399999999999912,0.025457032598171225,3.892425727758386e-05,-0.047186970710754395,0.9200666666666666,0.4794666666666667,0.9745429674018288,0.9989234852368075,0.553642213344574,intrinsic_arc
5,hidden_2,0.9206666666666666,0.12709999999999988,0.027066666666666572,0.0481608897905178,-2.3452551761504736e-05,-0.047098636627197266,0.8729000000000001,0.46580000000000005,0.9518391102094822,0.9988611084277684,0.5537305474281311,intrinsic_arc
5,hidden_3,0.9206666666666666,0.14546666666666652,0.03239999999999993,0.06926042124380183,-0.00013033978017717995,-0.08844852447509766,0.8545333333333335,0.4604666666666667,0.9307395787561982,0.9987542211993528,0.5123806595802307,intrinsic_arc
5,logits,0.9206666666666666,0.16649999999999998,0.04059999999999997,0.14964076127922876,-0.000496911447115056,-0.04961884021759033,0.8335,0.45226666666666665,0.8503592387207712,0.9983876495324149,0.551210343837738,intrinsic_arc
6,input,0.9163333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.4981333333333334,1.0,0.9988391626704396,0.5751194953918457,intrinsic_arc
6,hidden_1,0.9163333333333333,0.04923333333333324,0.008000000000000063,0.010857965577952378,1.268490088601748e-05,-0.05218154191970825,0.9507666666666668,0.4901333333333333,0.9891420344220476,0.9988518475713256,0.5229379534721375,intrinsic_arc
6,hidden_2,0.9163333333333333,0.09379999999999988,0.01776666666666671,0.012979439185258235,2.181116353860979e-06,-0.031477272510528564,0.9062000000000001,0.48036666666666666,0.9870205608147418,0.9988413437867935,0.5436422228813171,intrinsic_arc
6,hidden_3,0.9163333333333333,0.12773333333333325,0.025866666666666704,0.02741684256427901,-0.00040063043493410166,-0.001995980739593506,0.8722666666666667,0.47226666666666667,0.972583157435721,0.9984385322355055,0.5731235146522522,intrinsic_arc
6,logits,0.9163333333333333,0.14079999999999993,0.02906666666666674,0.038545470460941145,-0.0005382268188531825,0.0629613995552063,0.8592000000000001,0.46906666666666663,0.9614545295390589,0.9983009358515864,0.638080894947052,intrinsic_arc
7,input,0.8983333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.4988,1.0,0.9987731837459732,0.604983925819397,intrinsic_arc
7,hidden_1,0.8983333333333333,0.04179999999999984,0.006333333333333302,0.009968161369327322,1.6335891732222052e-05,-0.05958646535873413,0.9582000000000002,0.4924666666666667,0.9900318386306727,0.9987895196377055,0.5453974604606628,intrinsic_arc
7,hidden_2,0.8983333333333333,0.08553333333333335,0.020933333333333304,0.0280851563956368,-4.659585966926283e-05,-0.0709189772605896,0.9144666666666666,0.4778666666666667,0.9719148436043632,0.998726587886304,0.5340649485588074,intrinsic_arc
7,hidden_3,0.8983333333333333,0.13516666666666655,0.02920000000000006,0.05388343576183374,-0.00033422221602164015,-0.043440937995910645,0.8648333333333335,0.46959999999999996,0.9461165642381663,0.9984389615299516,0.5615429878234863,intrinsic_arc
7,logits,0.8983333333333333,0.1647333333333333,0.0408,0.08119776234315468,-0.00045443984040760554,1.2278556823730469e-05,0.8352666666666667,0.458,0.9188022376568453,0.9983187439055656,0.6049962043762207,intrinsic_arc
8,input,0.924,0.0,0.0,0.0,0.0,0.0,1.0,0.4913,1.0,0.9986898536838962,0.5854165554046631,intrinsic_arc
8,hidden_1,0.924,0.036699999999999844,0.00173333333333342,0.006852221623659505,2.5818855855175293e-05,-0.08636996150016785,0.9633000000000002,0.4895666666666666,0.9931477783763405,0.9987156725397514,0.49904659390449524,intrinsic_arc
8,hidden_2,0.924,0.0740666666666665,0.01533333333333331,0.014119856059647828,-6.104772878801068e-05,-0.08090680837631226,0.9259333333333335,0.4759666666666667,0.9858801439403522,0.9986288059551082,0.5045097470283508,intrinsic_arc
8,hidden_3,0.924,0.10543333333333327,0.023933333333333362,0.03961635859155821,-0.00020741899467824343,-0.09550583362579346,0.8945666666666667,0.46736666666666665,0.9603836414084418,0.9984824346892179,0.48991072177886963,intrinsic_arc
8,logits,0.924,0.1305666666666666,0.029066666666666685,0.07702372093453824,-0.0008067309048261917,-0.03960978984832764,0.8694333333333334,0.46223333333333333,0.9229762790654618,0.99788312277907,0.5458067655563354,intrinsic_arc
9,input,0.922,0.0,0.0,0.0,0.0,0.0,1.0,0.49866666666666665,1.0,0.9986532598941781,0.5844352841377258,intrinsic_arc
9,hidden_1,0.922,0.048833333333333284,0.00819999999999993,0.010474139806573635,6.241643306637013e-05,-0.07582372426986694,0.9511666666666667,0.4904666666666667,0.9895258601934264,0.9987156763272445,0.5086115598678589,intrinsic_arc
9,hidden_2,0.922,0.09719999999999984,0.02303333333333335,0.030291034255978788,-5.1723568879280535e-05,-0.02593088150024414,0.9028000000000002,0.4756333333333333,0.9697089657440212,0.9986015363252988,0.5585044026374817,intrinsic_arc
9,hidden_3,0.922,0.13706666666666656,0.032833333333333325,0.046358944814013814,-0.0003305189905109529,-0.04174232482910156,0.8629333333333334,0.4658333333333333,0.9536410551859862,0.9983227409036671,0.5426929593086243,intrinsic_arc
9,logits,0.922,0.18753333333333333,0.05173333333333335,0.08824517170395307,-0.0007908240821991042,0.06367027759552002,0.8124666666666667,0.4469333333333333,0.9117548282960469,0.997862435811979,0.6481055617332458,intrinsic_arc
10,input,0.91,0.0,0.0,0.0,0.0,0.0,1.0,0.49069999999999997,1.0,0.998835409970175,0.5856068730354309,intrinsic_arc
10,hidden_1,0.91,0.0556333333333332,0.00996666666666668,0.015429012599462388,7.982295330277722e-06,-0.058811843395233154,0.9443666666666668,0.4807333333333333,0.9845709874005376,0.9988433922655052,0.5267950296401978,intrinsic_arc
10,hidden_2,0.91,0.10036666666666649,0.022366666666666646,0.036230304832981064,-5.2237937249843824e-05,-0.07838433980941772,0.8996333333333335,0.4683333333333333,0.9637696951670189,0.9987831720329251,0.5072225332260132,intrinsic_arc
10,hidden_3,0.91,0.12919999999999998,0.025633333333333286,0.08689477493927467,-0.0004640163516648199,-0.05735766887664795,0.8708,0.4650666666666667,0.9131052250607253,0.9983713936185101,0.528249204158783,intrinsic_arc
10,logits,0.91,0.1741666666666667,0.03926666666666667,0.151372611844802,-0.0007219852102635649,0.04139888286590576,0.8258333333333333,0.4514333333333333,0.848627388155198,0.9981134247599114,0.6270057559013367,intrinsic_arc
1,input,0.8373333333333334,0.0,0.0,0.0,0.0,0.0,1.0,0.49533333333333335,0.9999999999999999,0.9989333737356624,0.5950512290000916,observed_y
1,hidden_1,0.8373333333333334,0.09839999999999993,-0.01596666666666663,0.04559951886085767,-2.8760765358626372e-05,0.04145622253417969,0.9016000000000001,0.5113,0.9544004811391422,0.9989046129703038,0.6365074515342712,observed_y
1,hidden_2,0.8373333333333334,0.5158333333333334,0.13553333333333334,0.29333665749437876,-0.000728388005700964,0.3650503158569336,0.4841666666666667,0.3598,0.7066633425056211,0.9982049857299614,0.9601015448570251,observed_y
1,hidden_3,0.8373333333333334,0.7267333333333333,0.29836666666666667,0.30531064844238387,-0.29047499621259154,0.31252193450927734,0.27326666666666666,0.1969666666666667,0.694689351557616,0.7084583775230708,0.9075731635093689,observed_y
1,logits,0.8373333333333334,0.758,0.32333333333333336,0.30384595643596546,-0.42671687784013523,0.33154207468032837,0.242,0.172,0.6961540435640344,0.5722164958955271,0.9265933036804199,observed_y
2,input,0.8686666666666667,0.0,0.0,0.0,0.0,0.0,1.0,0.4968,1.0,0.9987367619702427,0.5912150740623474,observed_y
