layer,accuracy_mean,accuracy_std,euclidean_knn_mean,euclidean_knn_std,geodesic_knn_mean,geodesic_knn_std,distance_correlation_mean,distance_correlation_std,distance_corr_mean,distance_corr_std,arc_r2_mean,arc_r2_std,first_pc_mean,first_pc_std
input,0.9642333333333333,0.006949642499020924,1.0,0.0,0.8537233333333333,0.006663629863892716,1.0,3.700743415417188e-17,1.0,3.700743415417188e-17,0.13863733885457563,0.014598018883378664,0.5580645561218261,0.010158397833290195
hidden_1,0.9642333333333333,0.006949642499020924,0.9661533333333333,0.012824939053593781,0.84716,0.008716916999450472,0.9253774304797435,0.030119807794635797,0.9253774304797435,0.030119807794635797,0.6420046190962851,0.17244770671880236,0.580373877286911,0.04083326222105534
hidden_2,0.9642333333333333,0.006949642499020924,0.94939,0.012471211787825206,0.84268,0.00880087257177897,0.8741685586246538,0.04545650492302353,0.8741685586246538,0.04545650492302353,0.7882929994346839,0.1678530978092615,0.6062858402729034,0.06746154491215846
hidden_3,0.9642333333333333,0.006949642499020924,0.9449133333333334,0.014911998648863337,0.8411466666666667,0.009018173694829943,0.8477861765488243,0.06005459525356367,0.8477861765488243,0.06005459525356367,0.9059937826435395,0.07588037339572518,0.5951841592788696,0.08593558496963993
logits,0.9642333333333333,0.006949642499020924,0.9397533333333333,0.020076343181853452,0.8392133333333334,0.012007736189434808,0.8289907373547847,0.09350200837965371,0.8289907373547847,0.09350200837965371,0.8684819782423148,0.09674744858261891,0.62877716422081,0.09368011783516018
